technique_id,D_raw,rule_count,D_norm,stealth_S
T1566.001,17.77594744524282,17,0.09561430695721912,0.9163255350351236
T1558.003,13.181453340976116,14,0.07090117304682071,0.9358909883044787
T1557.003,1.35880732125241,1,0.007308832382080091,0.9927703955029701
T1003.005,10.229289605096984,8,0.05502190188561695,0.9491614628746936
T1003,22.57582279616198,23,0.12143215754284259,0.8971775489724962
T1570,2.347776344955202,3,0.012628356874081556,0.9876062485244314
T1134.002,7.288936438124412,6,0.039206158103994485,0.9629670674713431
T1547.009,2.011256076405371,4,0.010818261949264465,0.9893543853546816
T1036,39.200433930728764,37,0.21085358933776305,0.8394011145255031
T1021.001,11.433438194602356,12,0.06149884682561119,0.9436794051990535
T1201,2.7360168935951577,3,0.014716647869835724,0.9856009527092785
T1040,3.088276185753417,6,0.01661140077640815,0.9837920838735346
T1187,3.275754658948986,4,0.017619820965498502,0.9828334461866288
T1090.001,7.29907525458998,6,0.03926069336365971,0.9629184082446453
T1090.002,1.7250114174751134,2,0.009278592417267362,0.990848708881492
T1574.011,8.826414739800587,11,0.04747603641733699,0.9556725657295833
T1558,2.4548529436174666,4,0.013204306752644493,0.9870519611658095
T1552.002,4.391992769046685,4,0.023623907871414173,0.9771835634375969
T1010,0.5972531564093516,1,0.0032125402487828787,0.9968028634009847
T1548,6.670512452781117,8,0.035879742960921765,0.9659492655676243
T1027.005,3.2575963687340193,4,0.017522150090864094,0.9829261721145838
T1553.002,0.44793986730701374,1,0.0024094051865871592,0.9975992701498391
T1134.005,0.648636716351771,1,0.003488925149673434,0.9965292351937011
T1078,7.031296451560142,9,0.03782034905861489,0.9642060714744211
T1484.001,2.825457065631994,4,0.015197733904196452,0.9851407232443258
T1547,4.6235434145435,7,0.024869386041445535,0.9760238032790448
T1001.003,1.9968100256180443,2,0.010740558685426978,0.989429637636468
T1136.002,1.6391628283998485,3,0.008816824999639039,0.9912982022192706
T1105,44.03880684930146,50,0.23687851289443743,0.8246804578106292
T1556,1.245093927157191,2,0.006697184119636717,0.9933694006964189
T1039,1.6901118168565867,2,0.009090872401976858,0.9910313651823369
T1070.006,2.4684208946429695,3,0.013277286842067524,0.9869817928778084
T1048,4.697529335924087,7,0.025267345847480475,0.9756541090492838
T1528,3.923574406261992,6,0.021104351754270067,0.9795425099485632
T1531,0.7550613973514595,2,0.004061368455341035,0.9959632182939246
T1047,37.728644694092566,42,0.20293704321376305,0.8440484564145896
T1546.003,6.643128479395888,11,0.03573244844145781,0.9660819672468307
T1078.001,0.26823965207235,1,0.001442823146858881,0.9985602924685898
T1078.002,0.26823965207235,1,0.001442823146858881,0.9985602924685898
T1078.003,0.26823965207235,1,0.001442823146858881,0.9985602924685898
